Name,Link,ID
Physics - Basic Introduction,https://www.youtube.com/watch?v=b1t41Q3xRM8,b1t41Q3xRM8
Electric Charge and Electric Fields,https://www.youtube.com/watch?v=VFbyDCG_j18,VFbyDCG_j18
All physics explained in 15 minutes (worth remembering),https://www.youtube.com/watch?v=TTHazQeM8v8,TTHazQeM8v8
"Physics 1 Final Exam Review",https://www.youtube.com/watch?v=CwkhvFlNFp0,CwkhvFlNFp0
Biology: Celular Structure,https://www.youtube.com/watch?v=URUJD5NEXC8,URUJD5NEXC8
Types of Plant Cells,https://www.youtube.com/watch?v=D33ZL-qKi9A,D33ZL-qKi9A
Introduction To Botany - Plants are like people,https://www.youtube.com/watch?v=YZvDpKgGeQs,YZvDpKgGeQs
Master Gardener Course: Eight Basic Rules of Botany,https://www.youtube.com/watch?v=ZQ0cYFpIBck,ZQ0cYFpIBck
01 Botany: Overview,https://www.youtube.com/watch?v=yxyHUv4zFgo,yxyHUv4zFgo
What is Geography? Crash Course Geography #1,https://www.youtube.com/watch?v=93LLwiMjDko,93LLwiMjDko
A Geography Class for Racist People,https://www.youtube.com/watch?v=8WfEkXvGQhY,8WfEkXvGQhY
PHYSICAL GEOGRAPHY SHS LESSON 1,https://www.youtube.com/watch?v=GgBDUPoky3Q,GgBDUPoky3Q
Do not make these mistakes in Map Marking in ICSE 10 Geography Paper | SWS Naatu Naatu series,https://www.youtube.com/watch?v=vNkaFeoIhCg,vNkaFeoIhCg
"How to study, revise and write the Geography Paper | ICSE 10 Board Exam | SWS Top Tips | T S Sudhir",https://www.youtube.com/watch?v=j6FrKVy3-1Y,j6FrKVy3-1Y
"Subtropical high, Subpolar low, Easterlies, Westerlies | Atmospheric circulation | Pressure belts",https://www.youtube.com/watch?v=W2lIUQc5RgQ,W2lIUQc5RgQ
What is a Map? Crash Course Geography #2,https://www.youtube.com/watch?v=iHEMOdRo5u8,iHEMOdRo5u8
Mexico! A Visual Geography Class - The Geography Pin,https://www.youtube.com/watch?v=cuLnRKceIbc,cuLnRKceIbc
What is Physical Geography? Crash Course Geography #4,https://www.youtube.com/watch?v=vlVVaZhRAEA,vlVVaZhRAEA
An introduction to the discipline of Literature,https://www.youtube.com/watch?v=xz9rfDm1Wr4,xz9rfDm1Wr4
Introduction to English Literature,https://www.youtube.com/watch?v=C4NwTzQFXDM,C4NwTzQFXDM
LEADERSHIP LAB: The Craft of Writing Effectively,https://www.youtube.com/watch?v=vtIzMaLkCaM,vtIzMaLkCaM
LITERARY DEVICES | Learn about literary devices in English | Learn with examples | Figure of speech,https://www.youtube.com/watch?v=OY2zPFQsKSI,OY2zPFQsKSI
How do Magnets & Magnetic Fields Work?,https://www.youtube.com/watch?v=ml1qQs-zusw,ml1qQs-zusw
How does an Electric Motor Work?,https://www.youtube.com/watch?v=vbQFHSqnY0M,vbQFHSqnY0M
Why is the Sky Blue? Why are Sunsets Red?,https://www.youtube.com/watch?v=gfgITuiI3iw,gfgITuiI3iw
Can a Heat Engine run on Liquid Nitrogen?,https://www.youtube.com/watch?v=w2Bns9-n-h8,w2Bns9-n-h8
Plant Cells: Crash Course Biology #6,https://www.youtube.com/watch?v=9UvlqAVCoqY,9UvlqAVCoqY
Eukaryopolis - The City of Animal Cells: Crash Course Biology #4,https://www.youtube.com/watch?v=cj8dDTHGJBY,cj8dDTHGJBY
Biological Molecules - You Are What You Eat: Crash Course Biology #3,https://www.youtube.com/watch?v=H8WJ2KENlK0,H8WJ2KENlK0
Water - Liquid Awesome: Crash Course Biology #2,https://www.youtube.com/watch?v=HVT3Y3_gHGg,HVT3Y3_gHGg
Carbon... SO SIMPLE: Crash Course Biology #1,https://www.youtube.com/watch?v=QnQe0xW_JY4,QnQe0xW_JY4
"What is Voltage, Current & Resistance? Build & Learn Circuits!",https://youtu.be/oIiaEseeONI,oIiaEseeONI
Automatic Photo Restoration - New AI Neural Filters in Photoshop,https://www.youtube.com/watch?v=D0v1wZx9B1U,D0v1wZx9B1U
Artificial Intelligence Masking - New in Photoshop! 2022 Update,https://www.youtube.com/watch?v=G9qLF1ruq7M,G9qLF1ruq7M
How to Instantly Remove Anything from Photos - New Fill & Delete Photoshop 2023,https://www.youtube.com/watch?v=OdUCjRcJTaI,OdUCjRcJTaI
How to Supercharge Photoshop with Luminar Neo,https://www.youtube.com/watch?v=ofI7BzVEurU,ofI7BzVEurU
How to Combine Photos & Graphics in Photoshop,https://www.youtube.com/watch?v=U8rVV85a3vA,U8rVV85a3vA
,https://youtu.be/7Bxw4kkeHJ8,7Bxw4kkeHJ8
,https://youtu.be/rWp5ZpJAIAE,rWp5ZpJAIAE
,https://youtu.be/ofIkpZCKDy0,ofIkpZCKDy0
,https://youtu.be/qNiOXc6pSBQ,qNiOXc6pSBQ
,https://youtu.be/fgnvKVzZZes,fgnvKVzZZes
,https://youtu.be/z58vSr_VTvk,z58vSr_VTvk
,https://youtu.be/kLqduWF6GXE,kLqduWF6GXE
,https://youtu.be/TDqx8Zv1rRo,TDqx8Zv1rRo
,https://youtu.be/Oi6ms4R0Szc,Oi6ms4R0Szc
,https://youtu.be/Y0A18Sp7njU,Y0A18Sp7njU
,https://youtu.be/3OyKUPur-eI,3OyKUPur-eI
,https://youtu.be/GOrWy_yNBvY,GOrWy_yNBvY
,https://youtu.be/awdQqF9CFt0,awdQqF9CFt0
,https://youtu.be/BZzkyqe6KD8,BZzkyqe6KD8
,https://youtu.be/ruBfXIVSYZ8,ruBfXIVSYZ8
,https://youtu.be/4i1MUWJoI0U,4i1MUWJoI0U
,https://youtu.be/kFpONSQXS00,kFpONSQXS00
,https://youtu.be/44B0ms3XPKU,44B0ms3XPKU
,https://youtu.be/3L7eM81CTzA,3L7eM81CTzA
,https://youtu.be/bW-eEBxJYaM,bW-eEBxJYaM
,https://youtu.be/9_uTdCHp7vI,9_uTdCHp7vI
,https://youtu.be/GIJK3dwCWCw,GIJK3dwCWCw
,https://youtu.be/k9QAyP3bYmc,k9QAyP3bYmc
,https://youtu.be/PUB0TaZ7bhA,/PUB0TaZ7bhA
,https://youtu.be/5zi5eG5Ui-Y,5zi5eG5Ui-Y
,https://youtu.be/Jsiy4TxgIME,Jsiy4TxgIME
,https://youtu.be/ABDKOmamIwo,ABDKOmamIwo
,https://youtu.be/mhd9FXYdf4s,mhd9FXYdf4s
,https://youtu.be/g8VCHoSk5_o,g8VCHoSk5_o
,,5WjcDji3xYc
,,z5l8ovbw_6M
,,yVdH3QacEXc
,,A5RHu1lTv14
,,PORP0q8nThs
,,qQ8domUSU7M
,,vrYcnMWWOeI
,,HM_fkwDB-Xg
,,ol4BJbIZHW4
,,5WjcDji3xYc
,,z5l8ovbw_6M
,,yVdH3QacEXc
,,bJbAZh3fv0g
,,A5RHu1lTv14
,,PORP0q8nThs
,,qQ8domUSU7M
,,vrYcnMWWOeI
,,L2O-ZLKLhiw
,,H7CpOdB2-rg
,,5WjcDji3xYc
,,z5l8ovbw_6M
,,bJbAZh3fv0g
,,yVdH3QacEXc
,,A5RHu1lTv14
,,PORP0q8nThs
,,L2O-ZLKLhiw
,,H7CpOdB2-rg
,,5WjcDji3xYc
,,bJbAZh3fv0g
,,z5l8ovbw_6M
,,yVdH3QacEXc
,,L2O-ZLKLhiw
,,So1wxlBfFJk
,,H7CpOdB2-rg
,,bJbAZh3fv0g
,,5WjcDji3xYc
,,z5l8ovbw_6M
,,yVdH3QacEXc
,,PRU3qndohWI
,,L2O-ZLKLhiw
,,So1wxlBfFJk
,,H7CpOdB2-rg
,,bJbAZh3fv0g
,,5WjcDji3xYc
,,PRU3qndohWI
,,OcXbdD_KyDo
,,q3eFt05hJ_8
,,L2O-ZLKLhiw
,,So1wxlBfFJk
,,H7CpOdB2-rg
,,IGTLRMFrCco
,,PRU3qndohWI
,,z2DAfhsg0I8
,,OcXbdD_KyDo
,,q3eFt05hJ_8
,,L2O-ZLKLhiw
,,So1wxlBfFJk
,,JM1U-Whb-P0
,,IGTLRMFrCco
,,PRU3qndohWI
,,z2DAfhsg0I8
,,OcXbdD_KyDo
,,q3eFt05hJ_8
,,Dz8w_Hnjmdg
,,JM1U-Whb-P0
,,IGTLRMFrCco
,,Xn3sK4WiviA
,,PRU3qndohWI
,,z2DAfhsg0I8
,,OcXbdD_KyDo
,,q3eFt05hJ_8
,,Dz8w_Hnjmdg
,,JM1U-Whb-P0
,,IGTLRMFrCco
,,Xn3sK4WiviA
,,PRU3qndohWI
,,z2DAfhsg0I8
,,OcXbdD_KyDo
,,q3eFt05hJ_8
,,Dz8w_Hnjmdg
,,JM1U-Whb-P0
,,IGTLRMFrCco
,,Xn3sK4WiviA
,,PRU3qndohWI
,,z2DAfhsg0I8
,,OcXbdD_KyDo
,,q3eFt05hJ_8
,,sMHDkx0hUG4
,,XW2E2Fnh52w
,,VImYeXnr13Q
,,GyCagepF_T4
,,F725ZHDAfQo
,,PEl4ev-fe_s
,,f-DKXTC_6K8
,,Dz8w_Hnjmdg
,,JM1U-Whb-P0
,,IGTLRMFrCco
,,Xn3sK4WiviA
,,PRU3qndohWI
,,z2DAfhsg0I8
,,sMHDkx0hUG4
,,XW2E2Fnh52w
,,GyCagepF_T4
,,F725ZHDAfQo
,,PEl4ev-fe_s
,,f-DKXTC_6K8
,,Dz8w_Hnjmdg
,,JM1U-Whb-P0
,,IGTLRMFrCco
,,oK1WRoRdyvE
,,CO72JNivnB4
,,AnDhlrs3XVM
,,sMHDkx0hUG4
,,XW2E2Fnh52w
,,VImYeXnr13Q
,,GyCagepF_T4
,,F725ZHDAfQo
,,PEl4ev-fe_s
,,f-DKXTC_6K8
,,Dz8w_Hnjmdg
,,oK1WRoRdyvE
,,CO72JNivnB4
,,AnDhlrs3XVM
,,sMHDkx0hUG4
,,XW2E2Fnh52w
,,VImYeXnr13Q
,,GyCagepF_T4
,,F725ZHDAfQo
,,PEl4ev-fe_s
,,f-DKXTC_6K8
,,oK1WRoRdyvE
,,CO72JNivnB4
,,AnDhlrs3XVM
,,sMHDkx0hUG4